state,Probability Harris Win,Median Harris Margin,Harris Voteshare,Harris Lower CI,Harris CI Width,Harris Advantage,Trump Voteshare,Trump Lower CI,Trump CI Width,Trump Advantage,Other Voteshare,Other Lower CI,Other CI Width,Total Number of Votes,EV,tipping_point_chance
SC,0.0949,-0.1340377408284888,0.40176269251285474,0.26420555635807547,0.2793809447183225,0.982086406743941,0.5358004333413435,0.3927648286936645,0.2849043913852796,0.37785880013258205,0.04002463032743841,0.01874064095583921,0.04233848832978139,2514096.0,9.0,0.0069
SD,0.0,-0.3045161542297567,0.31274426446627995,0.20522624027769681,0.21192844979054032,1.0,0.6172604186960367,0.5033536227985299,0.2283964767286064,0.3436,0.047014335918322415,0.03043406624031704,0.03286469171542539,422609.0,3.0,0.0
TN,0.0,-0.30362368137387863,0.31561507475278483,0.22774666926877646,0.17386218296364736,1.0,0.6192387561266635,0.550594056654287,0.13625946946133038,0.3436,0.04337834606668615,0.02246866371320963,0.04233340556776016,3053851.0,11.0,0.0
TX,0.0438,-0.06064644668020852,0.452239855124103,0.40344760799933044,0.09768602146242933,1.0,0.5128863018043115,0.46215949114404353,0.10074618041985872,0.35933905040786446,0.030485553478716225,0.015353746515864544,0.029883775833086577,11315056.0,40.0,0.0067
UT,0.0088,-0.25681486991966407,0.2923479022790132,0.17929073824470101,0.22636751500639476,0.9659090909090909,0.5491627721986773,0.3671616385105934,0.35499865858090224,0.3464487489911219,0.1264808629431177,0.06634696145678018,0.11996881056185929,1488289.0,6.0,0.0
VA,0.9578,0.06734412220785307,0.49955018393243783,0.44452647246417354,0.10831204856761123,0.677176863645855,0.43220606172458476,0.38291189592517727,0.10102915257839112,0.9383886255924171,0.04091255934511173,0.024354520585118805,0.03332123692538562,4460524.0,13.0,0.0219
VT,1.0,0.38327930525219367,0.64668403712558,0.5373801510016413,0.2152922247199287,0.6508,0.2634047318733863,0.17987382220547507,0.1664887014858958,1.0,0.07407232214807374,0.04423410717877558,0.06069263955517259,370968.0,3.0,0.0
WA,1.0,0.19238099812111265,0.5521733429488918,0.48553785454018833,0.1336032234649262,0.6508,0.3597923448277791,0.30807981012855656,0.10402155426053694,1.0,0.060309304675583875,0.03897602760037565,0.041999251200423485,4087631.0,12.0,0.0
WI,0.7831,0.024626558874744908,0.4930558737987607,0.4476882832435595,0.09048079173805507,0.7646533009832717,0.4684293149240158,0.42668749517373633,0.08314382797038106,0.7579529737206085,0.03080129728979775,0.018107583242573572,0.025430289807137022,3298041.0,10.0,0.0969
WV,0.0,-0.5054097493019903,0.21726782312479484,0.05740866592441182,0.3170270822219773,1.0,0.7226775724267852,0.548686112420711,0.34919167417622077,0.3436,0.03703963153685602,0.02128167251957664,0.03123927731875619,794652.0,4.0,0.0
WY,0.0,-0.5032689545252973,0.20053206229510342,0.10429907916311594,0.19170672597370947,1.0,0.7038010168204007,0.5687650504842302,0.2724954859377058,0.3436,0.07129161824809149,0.04824626196908115,0.046438103834438305,278503.0,3.0,0.0
