state,Probability Harris Win,Median Harris Margin,Harris Voteshare,Harris Lower CI,Harris CI Width,Harris Advantage,Trump Voteshare,Trump Lower CI,Trump CI Width,Trump Advantage,Other Voteshare,Other Lower CI,Other CI Width,Total Number of Votes,EV,tipping_point_chance
NV,0.553,0.003763354556844234,0.4743255053024881,0.43536629202003485,0.07737288843373769,0.778119349005425,0.4705621507456439,0.43238943389252416,0.07549720051051723,0.6697986577181209,0.02687361276134724,0.01402858169470809,0.025314686002512576,1405376.0,6.0,0.0451
NY,1.0,0.18786364031087355,0.5739727679587387,0.5130987084458264,0.12094814706097734,0.5748,0.3861091276478652,0.3178429799270352,0.13430558537606718,1.0,0.05542249408910151,0.03389660961404848,0.042856002812604384,8661735.0,28.0,0.0
OH,0.0169,-0.06800750025415303,0.44592312295929026,0.40056145726655357,0.09222459355295892,0.9822485207100592,0.5139306232134433,0.4706362045851563,0.08619848695661325,0.4267114230495372,0.023410331565866773,0.012297789496718918,0.02252660331625838,5922202.0,17.0,0.0025
OK,0.0,-0.4143843530227492,0.2647301487568782,0.19956995515214154,0.13086032127703884,1.0,0.6791145017796274,0.5855169490322966,0.18847018915331726,0.4198,0.028481539789421906,0.014006289685132721,0.02919494366214318,1560699.0,7.0,0.0
OR,0.9973,0.1459514455987594,0.5315395271756517,0.4502037131737838,0.1584698527662327,0.5763561616364183,0.3855880815768923,0.32398278027355887,0.12280125088994787,1.0,0.055658810310773375,0.037427181090833005,0.03647762771202478,2374321.0,8.0,0.0002
PA,0.6747,0.01068734907590474,0.4820433545289512,0.4476829509977375,0.06964129159240645,0.7849414554616867,0.47135600545304646,0.4383539387213546,0.06692105148242294,0.8536735321241931,0.019023485654304458,0.00992730433450047,0.01833549575000469,6915283.0,19.0,0.2428
RI,0.9972,0.1633366801289584,0.5549556671811461,0.47310731906113224,0.16302265064089672,0.5762133975130365,0.3916189870521877,0.31241581137837704,0.16131654636629805,0.9285714285714286,0.029933171011510107,0.013765820710460286,0.03165691791327148,516990.0,4.0,0.0001
SC,0.0798,-0.13920592824681144,0.4005852055483593,0.2665487225230899,0.2681761340306056,0.9736842105263158,0.5397911337951707,0.4015247903382546,0.2785374947893243,0.45403173223212345,0.03383392304728758,0.015176875203971272,0.03695399732969801,2514096.0,9.0,0.0054
SD,0.0,-0.3122954719772114,0.310482397330475,0.2057169387262861,0.2078374425749181,1.0,0.6227778693076864,0.5108362475827778,0.2209627732551025,0.4198,0.040845618855789446,0.02691586817060004,0.027601522478725427,422609.0,3.0,0.0
TN,0.0,-0.30953615105734733,0.31309310864203255,0.22416874265416376,0.17482459273078993,1.0,0.6226292596993799,0.5594613416407429,0.1258521308264583,0.4198,0.037343424109973086,0.01853133316021484,0.038635883323064175,3053851.0,11.0,0.0
TX,0.0184,-0.062034109464404186,0.44512374250117953,0.4030188648015549,0.08283078519800746,1.0,0.5071578519655837,0.4644597308051361,0.08466994971943292,0.4276691116544417,0.025404162650133833,0.012941000696560718,0.025416963066532995,11315056.0,40.0,0.0026
UT,0.0035,-0.19107349783387428,0.3296681312766262,0.24461420996589778,0.16969889245482017,0.9714285714285714,0.5207416291105005,0.4105965282293037,0.2195181653582482,0.42117410938283995,0.12002908905985847,0.06153297725787844,0.11653907809564425,1488289.0,6.0,0.0
VA,0.986,0.07878268775414521,0.4940158153735642,0.4413803064924763,0.10634018780320931,0.5827586206896552,0.415233127619419,0.36577107743150233,0.0980665672022536,0.9857142857142858,0.03623816359068377,0.02150415452301419,0.02905646116812077,4460524.0,13.0,0.0035
VT,1.0,0.37566129178278085,0.6424289089863868,0.5320005846491616,0.21857474476511496,0.5748,0.266767617203606,0.1817066273969154,0.1698940059619129,1.0,0.06942601715569874,0.0421976690910266,0.054668995176649894,370968.0,3.0,0.0
WA,1.0,0.18701765065375275,0.5513328398300384,0.4868843237972837,0.12747303832149987,0.5748,0.3643151891762857,0.314885356237449,0.09885859178347756,1.0,0.054131264972180765,0.03569593971767269,0.03708538128144386,4087631.0,12.0,0.0
WI,0.6706,0.011331861183837888,0.48296005036727885,0.4438010905533469,0.0779444380500593,0.7466447957053385,0.47162818918344096,0.43621677823867006,0.06934734230387524,0.7726168791742563,0.02711461561357232,0.01649533394760811,0.021363068644892798,3298041.0,10.0,0.135
WV,0.0,-0.510643152811491,0.2159051119284658,0.056867256335604466,0.31632394392600005,1.0,0.7265482647399568,0.5617043163078523,0.3355351783132099,0.4198,0.030841689090863322,0.017640655105888085,0.02663376854529916,794652.0,4.0,0.0
WY,0.0,-0.5107444557509138,0.1994203606888914,0.10457890534779504,0.1895133372622306,1.0,0.7101648164398051,0.5759247931324484,0.27225795166869526,0.4198,0.06511232026733832,0.044533373580186185,0.04146532371462724,278503.0,3.0,0.0
